Timestamp,CPU Temperature C,CPU Temperature F,Sense Hat Temperature C,Sense Hat Temperature F,Fan Shim State
"04/05/2021, 11:27:23 PM",56.0,132.8,42.8,109.1,Off
"04/05/2021, 11:28:01 PM",55.5,131.9,42.9,109.2,Off
"04/05/2021, 11:29:02 PM",54.5,130.2,42.7,108.8,Off
"04/05/2021, 11:30:02 PM",54.5,130.2,42.6,108.7,Off
"04/05/2021, 11:31:01 PM",54.5,130.2,42.3,108.2,Off
"04/05/2021, 11:32:02 PM",54.5,130.2,42.1,107.7,Off
"04/05/2021, 11:33:01 PM",54.0,129.3,41.8,107.3,Off
"04/05/2021, 11:34:02 PM",53.1,127.5,41.6,106.8,Off
"04/05/2021, 11:35:02 PM",53.1,127.5,41.4,106.5,Off
"04/05/2021, 11:36:01 PM",54.0,129.3,41.2,106.1,Off
"04/05/2021, 11:37:02 PM",52.6,126.6,41.1,106.0,Off
"04/05/2021, 11:38:01 PM",53.1,127.5,41.0,105.9,Off
"04/05/2021, 11:39:02 PM",52.1,125.8,40.8,105.4,Off
"04/05/2021, 11:40:02 PM",52.6,126.6,40.3,104.6,Off
"04/05/2021, 11:41:01 PM",55.5,131.9,39.5,103.1,Off
"04/05/2021, 11:42:02 PM",55.0,131.0,39.0,102.2,Off
"04/05/2021, 11:43:01 PM",55.0,131.0,38.9,102.1,Off
"04/05/2021, 11:44:01 PM",56.0,132.8,38.8,101.8,Off
"04/05/2021, 11:45:02 PM",56.0,132.8,38.6,101.5,Off
"04/05/2021, 11:46:01 PM",55.0,131.0,38.6,101.6,Off
"04/05/2021, 11:47:02 PM",55.5,131.9,38.5,101.3,Off
"04/05/2021, 11:48:01 PM",55.0,131.0,38.4,101.0,Off
"04/05/2021, 11:49:02 PM",56.0,132.8,38.5,101.3,Off
"04/05/2021, 11:50:02 PM",55.5,131.9,38.4,101.1,Off
"04/05/2021, 11:51:01 PM",55.5,131.9,38.6,101.4,Off
"04/05/2021, 11:52:02 PM",55.5,131.9,38.5,101.3,Off
"04/05/2021, 11:53:01 PM",56.0,132.8,38.5,101.3,Off
"04/05/2021, 11:54:01 PM",55.0,131.0,38.5,101.4,Off
"04/05/2021, 11:55:02 PM",56.0,132.8,38.6,101.5,Off
"04/05/2021, 11:56:01 PM",56.5,133.7,38.5,101.3,Off
"04/05/2021, 11:57:02 PM",56.0,132.8,38.6,101.5,Off
"04/05/2021, 11:58:01 PM",55.5,131.9,38.6,101.4,Off
"04/05/2021, 11:59:02 PM",56.0,132.8,38.6,101.6,Off
"04/06/2021, 12:00:02 AM",56.0,132.8,38.6,101.4,Off
"04/06/2021, 12:01:01 AM",56.0,132.8,38.5,101.3,Off
"04/06/2021, 12:02:02 AM",55.5,131.9,38.5,101.4,Off
"04/06/2021, 12:03:01 AM",57.0,134.5,38.6,101.6,Off
"04/06/2021, 12:04:02 AM",56.0,132.8,38.6,101.5,Off
"04/06/2021, 12:05:02 AM",57.0,134.5,38.7,101.7,Off
"04/06/2021, 12:06:01 AM",57.0,134.5,38.8,101.8,Off
"04/06/2021, 12:07:02 AM",57.0,134.5,38.9,101.9,Off
"04/06/2021, 12:08:01 AM",56.0,132.8,38.8,101.9,Off
"04/06/2021, 12:09:01 AM",63.3,145.9,39.8,103.7,Off
"04/06/2021, 12:10:02 AM",63.3,145.9,41.7,107.0,Off
"04/06/2021, 12:11:02 AM",61.3,142.4,42.3,108.2,Off
"04/06/2021, 12:12:01 AM",61.8,143.3,42.8,109.0,Off
"04/06/2021, 12:13:02 AM",56.5,133.7,43.2,109.7,Off
"04/06/2021, 12:14:01 AM",57.0,134.5,41.9,107.4,Off
"04/06/2021, 12:15:01 AM",57.9,136.3,41.1,106.0,Off
"04/06/2021, 12:16:02 AM",57.0,134.5,40.8,105.4,Off
"04/06/2021, 12:17:01 AM",57.9,136.3,40.4,104.7,Off
"04/06/2021, 12:18:02 AM",58.4,137.2,40.2,104.4,Off
"04/06/2021, 12:19:01 AM",58.4,137.2,40.1,104.2,Off
"04/06/2021, 12:20:02 AM",57.0,134.5,39.9,103.9,Off
"04/06/2021, 12:21:02 AM",57.5,135.4,39.7,103.5,Off
"04/06/2021, 12:22:01 AM",58.4,137.2,39.7,103.4,Off
"04/06/2021, 12:23:02 AM",57.9,136.3,39.6,103.3,Off
"04/06/2021, 12:24:01 AM",57.0,134.5,39.5,103.2,Off
"04/06/2021, 12:25:02 AM",57.5,135.4,39.5,103.2,Off
"04/06/2021, 12:26:02 AM",57.5,135.4,39.5,103.1,Off
"04/06/2021, 12:27:01 AM",57.5,135.4,39.4,102.9,Off
"04/06/2021, 12:28:02 AM",57.5,135.4,39.4,102.9,Off
"04/06/2021, 12:29:01 AM",57.5,135.4,39.4,102.9,Off
"04/06/2021, 12:30:02 AM",57.5,135.4,39.3,102.8,Off
"04/06/2021, 12:31:01 AM",57.5,135.4,39.3,102.7,Off
"04/06/2021, 12:32:01 AM",57.5,135.4,39.1,102.5,Off
"04/06/2021, 12:33:02 AM",57.0,134.5,39.2,102.6,Off
"04/06/2021, 12:34:01 AM",56.5,133.7,39.2,102.6,Off
"04/06/2021, 12:35:02 AM",57.5,135.4,39.3,102.7,Off
"04/06/2021, 12:36:01 AM",56.0,132.8,39.2,102.5,Off
"04/06/2021, 12:37:01 AM",56.5,133.7,39.1,102.4,Off
"04/06/2021, 12:38:02 AM",57.5,135.4,39.1,102.5,Off
"04/06/2021, 12:39:01 AM",57.9,136.3,39.2,102.6,Off
"04/06/2021, 12:40:02 AM",57.0,134.5,39.2,102.6,Off
"04/06/2021, 12:41:01 AM",57.5,135.4,39.1,102.5,Off
"04/06/2021, 12:42:01 AM",57.9,136.3,39.2,102.5,Off
"04/06/2021, 12:43:02 AM",57.5,135.4,39.2,102.6,Off
"04/06/2021, 12:44:01 AM",56.0,132.8,39.1,102.5,Off
"04/06/2021, 12:45:02 AM",57.0,134.5,39.2,102.5,Off
"04/06/2021, 12:46:01 AM",57.0,134.5,39.2,102.5,Off
"04/06/2021, 12:47:01 AM",56.0,132.8,39.1,102.4,Off
"04/06/2021, 12:48:02 AM",56.5,133.7,39.2,102.5,Off
"04/06/2021, 12:49:01 AM",56.5,133.7,39.0,102.2,Off
"04/06/2021, 12:50:02 AM",57.0,134.5,39.1,102.4,Off
"04/06/2021, 12:51:01 AM",56.5,133.7,39.1,102.4,Off
"04/06/2021, 12:52:01 AM",56.5,133.7,39.2,102.6,Off
"04/06/2021, 12:53:02 AM",56.5,133.7,39.1,102.4,Off
"04/06/2021, 12:54:01 AM",57.5,135.4,39.1,102.4,Off
"04/06/2021, 12:55:02 AM",57.5,135.4,39.1,102.4,Off
"04/06/2021, 12:56:01 AM",57.0,134.5,39.1,102.3,Off
"04/06/2021, 12:57:02 AM",57.0,134.5,39.1,102.4,Off
"04/06/2021, 12:58:02 AM",56.5,133.7,39.1,102.3,Off
"04/06/2021, 12:59:01 AM",57.0,134.5,39.0,102.2,Off
"04/06/2021, 01:00:02 AM",56.5,133.7,39.0,102.2,Off
"04/06/2021, 01:01:02 AM",56.0,132.8,38.9,102.1,Off
"04/06/2021, 01:02:01 AM",57.5,135.4,39.0,102.2,Off
"04/06/2021, 01:03:02 AM",56.0,132.8,39.1,102.4,Off
"04/06/2021, 01:04:01 AM",57.0,134.5,39.0,102.3,Off
"04/06/2021, 01:05:02 AM",56.5,133.7,39.0,102.2,Off
"04/06/2021, 01:06:02 AM",56.5,133.7,39.1,102.5,Off
"04/06/2021, 01:07:01 AM",56.5,133.7,39.1,102.3,Off
"04/06/2021, 01:08:02 AM",57.0,134.5,39.0,102.3,Off
"04/06/2021, 01:09:01 AM",56.0,132.8,39.0,102.2,Off
"04/06/2021, 01:10:02 AM",56.5,133.7,39.0,102.3,Off
"04/06/2021, 01:11:02 AM",56.5,133.7,39.0,102.3,Off
"04/06/2021, 01:12:01 AM",57.5,135.4,39.0,102.2,Off
"04/06/2021, 01:13:02 AM",57.5,135.4,39.1,102.4,Off
"04/06/2021, 01:14:01 AM",57.0,134.5,39.0,102.2,Off
"04/06/2021, 01:15:02 AM",57.0,134.5,39.1,102.4,Off
"04/06/2021, 01:16:02 AM",56.5,133.7,39.0,102.2,Off
"04/06/2021, 01:17:01 AM",57.0,134.5,39.1,102.4,Off
"04/06/2021, 01:18:02 AM",57.0,134.5,39.0,102.2,Off
"04/06/2021, 01:19:01 AM",57.5,135.4,39.1,102.3,Off
"04/06/2021, 01:20:02 AM",57.0,134.5,39.0,102.2,Off
"04/06/2021, 01:21:02 AM",58.9,138.0,39.0,102.1,Off
"04/06/2021, 01:22:01 AM",56.5,133.7,39.1,102.3,Off
"04/06/2021, 01:23:02 AM",57.5,135.4,39.1,102.4,Off
"04/06/2021, 01:24:01 AM",57.0,134.5,39.1,102.4,Off
"04/06/2021, 01:25:01 AM",58.4,137.2,39.2,102.5,Off
"04/06/2021, 01:26:02 AM",57.9,136.3,39.1,102.5,Off
"04/06/2021, 01:27:01 AM",57.5,135.4,39.2,102.6,Off
"04/06/2021, 01:28:02 AM",57.0,134.5,39.3,102.7,Off
"04/06/2021, 01:29:02 AM",57.9,136.3,39.2,102.5,Off
"04/06/2021, 01:30:01 AM",57.9,136.3,39.2,102.6,Off
"04/06/2021, 01:31:02 AM",57.9,136.3,39.4,102.9,Off
"04/06/2021, 01:32:01 AM",57.9,136.3,39.3,102.8,Off
